rf_ohm,cf_f,fc_hz,vout_3uA_mV,fc_pass,gain_pass
45150.02658180709,1.002100757112889e-07,35.17634653712188,135.45007974542128,True,True
44869.96135510118,1.0207546453149836e-07,34.74906081543495,134.60988406530356,True,True
46906.48311522907,1.0222668639018921e-07,33.19120164008939,140.71944934568722,True,True
49247.23005663863,1.0392718086144048e-07,31.09633287202114,147.7416901699159,True,True
46423.41302134508,9.700540544109041e-08,35.341675105147374,139.27023906403525,True,True
47082.442671070465,9.992554571447975e-08,33.82864609907857,141.24732801321142,True,True
44769.51789057889,9.825746642336533e-08,36.18029906446805,134.3085536717367,True,True
44772.6236168792,1.029250508899548e-07,34.537150017992346,134.31787085063763,True,True
45665.24303127952,9.879030057325104e-08,35.27930748300072,136.99572909383855,True,True
45335.427650290156,9.955278747520948e-08,35.263790284973375,136.00628295087049,True,True
45522.262661881396,1.0433255937610828e-07,33.51015449873021,136.5667879856442,True,True
46647.38227869642,9.847999360281521e-08,34.64534118246611,139.94214683608928,True,True
47935.9511332129,1.0332085252441371e-07,32.13444486496372,143.8078533996387,True,True
45899.258313500715,1.0312822854855372e-07,33.623034479222184,137.69777494050214,True,True
46878.22226728186,1.0217295295139771e-07,33.22867717457056,140.63466680184558,True,True
48496.92173376697,1.0123023001249003e-07,32.41871038852133,145.49076520130092,True,True
45942.234692342856,1.0283093660709805e-07,33.688697800085265,137.82670407702858,True,True
48366.85501526269,1.035837201351875e-07,31.767334670827143,145.10056504578807,True,True
46408.85782982791,9.744876093789893e-08,35.19191743852829,139.2265734894837,True,True
46974.60735333995,9.822532875689949e-08,34.49319963240253,140.92382206001986,True,True
47752.92019281463,9.957599673681272e-08,33.470756982031226,143.25876057844388,True,True
46353.20271003279,9.590822880787756e-08,35.80012264394464,139.05960813009838,True,True
46976.261492766054,9.564053500435278e-08,35.42417000089366,140.92878447829818,True,True
46840.20785939853,1.0078700175833727e-07,33.71295276899097,140.5206235781956,True,True
46007.149318580414,1.0314097054139517e-07,33.5400413299502,138.02144795574125,True,True
46955.7971475582,9.527372609271878e-08,35.576052992911045,140.8673914426746,True,True
46112.12668422714,9.90104246467379e-08,34.85973298321499,138.33638005268142,True,True
45399.80866899078,9.651478720856713e-08,36.32220887505839,136.19942600697235,True,True
46100.71534382878,9.560928064296691e-08,36.108746858958796,138.30214603148633,True,True
46966.12656367941,1.0330435918082657e-07,32.80323985648739,140.89837969103826,True,True
47613.89620495274,1.0451674680472687e-07,31.981625052812035,142.8416886148582,True,True
46191.28733302718,1.0196643793461934e-07,33.79113796866437,138.57386199908157,True,True
49122.20660702561,9.63130996040391e-08,33.64007105341061,147.36661982107685,True,True
44721.82766332292,9.661033547009389e-08,36.83638452225917,134.16548298996875,True,True
48989.65113647111,1.035561998378249e-07,31.37181750197118,146.96895340941336,True,True
46779.01332984185,1.0207481784280447e-07,33.331162482333056,140.33703998952558,True,True
47986.016998663275,9.754189298681164e-08,34.002766135510626,143.95805099598982,True,True
45985.76131301645,9.934358661962968e-08,34.83829685889809,137.95728393904935,True,True
48171.7624665117,1.032180359975672e-07,32.00899246706395,144.51528739953508,True,True
45968.35409612282,1.0179470543071822e-07,34.01229894914805,137.90506228836847,True,True
45351.615633851776,1.0349899098842119e-07,33.907147266710226,136.05484690155535,True,True
48124.88704131005,1.0346033452182874e-07,31.965134061807426,144.37466112393017,True,True
45156.01185741464,1.0308527850623916e-07,34.19069309245711,135.46803557224393,True,True
47501.33288436447,1.048965399726057e-07,31.941342996467768,142.50399865309342,True,True
48297.55268694662,9.898701343317133e-08,33.29022921952154,144.89265806083986,True,True
45013.57144755264,1.0437005990541896e-07,33.8766710450453,135.04071434265794,True,True
48159.40901547057,9.87416529074961e-08,33.46868043746872,144.47822704641172,True,True
49297.303438409916,1.031064870782715e-07,31.312012181617273,147.89191031522975,True,True
48765.617810619675,9.742543920242195e-08,33.49916860455027,146.29685343185903,True,True
47234.477340891746,9.957483320972625e-08,33.83852544375383,141.70343202267523,True,True
45472.58406021199,9.669422463509567e-08,36.196781976886435,136.41775218063597,True,True
44696.43983945767,1.0337454432049342e-07,34.44558709942866,134.08931951837303,True,True
48154.26951933859,9.730975840469762e-08,33.96479034436454,144.46280855801578,True,True
47390.066298479534,1.0432072519506157e-07,32.193056955007975,142.1701988954386,True,True
46991.18124682107,9.57419541243191e-08,35.37540999990997,140.9735437404632,True,True
47984.75703404944,1.008958879214378e-07,32.873304674826024,143.95427110214834,True,True
49241.88264716772,9.780670564757324e-08,33.04584425606147,147.72564794150315,True,True
48217.94428590402,1.0487531236506821e-07,31.473002298772748,144.65383285771208,True,True
46565.924388996864,9.609321671562276e-08,35.567977562763495,139.69777316699057,True,True
48481.842826749256,1.0164296025251344e-07,32.29711332553717,145.4455284802478,True,True
46450.670090411135,1.0362901679992693e-07,33.063343606135035,139.35201027123338,True,True
46098.926546470866,9.50088185744489e-08,36.33836654606585,138.29677963941262,True,True
47532.94714252752,9.508538045426918e-08,35.21369844637334,142.59884142758256,True,True
46828.0127551518,9.816685664302104e-08,34.62179007828699,140.4840382654554,True,True
47132.992365890765,9.855681820883797e-08,34.261663415267485,141.3989770976723,True,True
48383.46578032294,1.0443784597256987e-07,31.49671432447626,145.15039734096882,True,True
49114.764042662704,1.0382938334166078e-07,31.209570714247555,147.3442921279881,True,True
46274.629601596025,9.769008678181225e-08,35.20681069042911,138.82388880478808,True,True
48976.61883540479,9.57775783892234e-08,33.928720307037814,146.92985650621438,True,True
47443.23072467535,1.007794752933233e-07,33.28693311812655,142.32969217402606,True,True
49320.82913956587,9.872072058578124e-08,32.68748041133791,147.9624874186976,True,True
49062.32590081817,9.903919427091358e-08,32.75404189228465,147.1869777024545,True,True
45285.80672507981,1.0088382777261946e-07,34.836656870302434,135.85742017523944,True,True
45060.65235617807,1.0208770556442645e-07,34.59785814633536,135.18195706853422,True,True
45899.75630606654,1.0370180500356316e-07,33.43670212339887,137.69926891819964,True,True
46896.1548898898,1.0455422107641876e-07,32.45946259180638,140.68846466966943,True,True
48159.365618155076,1.0110969136323331e-07,32.68485701466052,144.4780968544652,True,True
46515.043479097476,1.0061932541522091e-07,34.00519730489221,139.54513043729244,True,True
48067.20389820425,1.0359523678537843e-07,31.961818765684274,144.20161169461275,True,True
48611.457807620165,1.0396989328266295e-07,31.490089003413896,145.8343734228605,True,True
49211.02120941805,9.879770381944241e-08,32.73489129177517,147.63306362825415,True,True
44924.21425065669,1.0092979517620268e-07,35.10106147267681,134.77264275197007,True,True
45959.39020120843,1.0243673460676687e-07,33.805716723748944,137.87817060362528,True,True
48465.63140031346,1.0205468688315826e-07,32.177574319373775,145.39689420094038,True,True
